user_id,group,promotion_revenue
328005191,control,0.0
328017524,test,675.0433221950708
328018610,test,0.0
328022724,test,0.0
328023511,test,0.0
328024427,test,0.0
328025969,control,0.0
328042782,control,921.3696395696102
328048984,control,560.7460966796327
328054631,control,344.26964537744715
328057357,test,0.0
328060940,test,552.148386660784
328062213,control,0.0
328068276,control,0.0
328068605,control,0.0
328073574,control,921.4445346062834
328079758,test,0.0
328084072,test,0.0
328087734,test,1468.1585128085665
328088650,test,357.1790448959194
328098941,test,0.0
328105595,test,0.0
328109027,test,0.0
328109622,control,1037.870306129363
328124233,test,0.0
328125831,control,358.0220460467824
328128302,test,767.8559842267193
328131656,test,0.0
328138141,test,467.6104644222597
328139952,control,0.0
328147068,control,614.2451960045572
328150466,control,831.6729128520217
328152184,control,1196.6203084138945
328153411,test,0.0
328154633,test,0.0
328155758,test,0.0
328161602,test,0.0
328161660,control,449.48426832203774
328161950,test,0.0
328164308,control,0.0
328171782,control,0.0
328173136,control,0.0
328175147,test,562.5085530472523
328177064,test,622.058644941933
328182136,control,560.8111419441021
328183293,test,0.0
328186633,test,0.0
328187541,test,0.0
328191374,control,0.0
328198492,control,0.0
328201204,test,618.5585072294477
328207667,control,0.0
328215441,test,0.0
328219021,control,407.365460911902
328219670,test,766.9779779549497
328219966,control,702.2822187931026
328223660,control,0.0
328231582,control,0.0
328232541,test,0.0
328233711,test,0.0
328235595,test,0.0
328240695,test,1912.4981808362766
328241001,test,0.0
328249791,control,0.0
328253006,control,560.7684678143762
328253680,test,297.65300084420284
328255089,control,0.0
328260518,test,357.195748616468
328265260,control,0.0
328265493,test,0.0
328271792,control,0.0
328280123,control,0.0
328281914,control,511.638543889579
328288284,control,0.0
328292188,test,0.0
328306729,control,0.0
328310164,test,0.0
328312403,test,1923.7364330072633
328318312,control,0.0
328318464,test,0.0
328319459,control,0.0
328334881,test,0.0
328336161,control,0.0
328355328,control,0.0
328356738,control,766.1072120907813
328360458,test,0.0
328363120,control,0.0
328366258,test,0.0
328372556,test,0.0
328376598,control,0.0
328378069,control,0.0
328379039,test,0.0
328386186,test,0.0
328395492,control,0.0
328400352,control,532.3038556965612
328407416,test,767.8867861989588
328412475,control,0.0
328417478,test,957.6731795238526
328428632,test,0.0
328430011,test,0.0
328430750,test,0.0
328431504,test,0.0
328432253,control,0.0
328437548,test,0.0
328449813,control,0.0
328454511,test,0.0
328454566,control,957.6611056351815
328456514,control,808.3958675059098
328463161,control,0.0
328472980,test,0.0
328474854,control,562.4954740137215
328482300,control,0.0
328488196,test,0.0
328488244,control,0.0
328488552,control,766.1066549679549
328492098,control,0.0
328504940,test,0.0
328506702,test,0.0
328513438,control,0.0
328514721,control,618.5994730077996
328516981,test,0.0
328519493,test,508.34554412953105
328520856,test,3201.1519818913966
328522768,control,0.0
328524468,control,0.0
